instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,struc_judge_respond.rt,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining,connected,dimensionality
0,0,0,0,1,Instructions/instr_1.png,5,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,0.947916667,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Instructions/instr_2.png,3,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Instructions/instr_3.png,5,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,Instructions/instr_4.png,1,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,Instructions/instr_5.png,1,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,Instructions/instr_6.png,1,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,Instructions/instr_7.png,1,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,Instructions/instr_8.png,3,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,Instructions/instr_9.png,3,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,9,1,Instructions/instr_10.png,3,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,10,10,1,Instructions/instr_11.png,3,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,11,11,11,1,Instructions/instr_12.png,3,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,12,12,1,Instructions/instr_13.png,3,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,13,13,1,Instructions/instr_14.png,3,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,14,14,1,Instructions/instr_15.png,3,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,15,15,1,Instructions/instr_16.png,5,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,9,0,1.39827,9,1,12.519205,0,0,0,1,1,Stimuli/practiceStimuliSquare/practice2_s.png,Stimuli/practiceStimuliSquare/practice2_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,0,,9,1,2.770005,0,1,1,4,1,Stimuli/practiceStimuliSquare/practice1_s.png,Stimuli/practiceStimuliSquare/practice1_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.15088,9,1,1.452025,0,2,2,2,1,Stimuli/practiceStimuliSquare/practice3_s.png,Stimuli/practiceStimuliSquare/practice3_s.png,0,9,,,,,,,,,,
,,,,,,,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.196805,9,1,1.650805,0,3,3,3,1,Stimuli/practiceStimuliSquare/practice4_s.png,Stimuli/practiceStimuliSquare/practice4_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,0,,9,1,0.638885,0,4,4,5,1,Stimuli/practiceStimuliSquare/practice2_s.png,Stimuli/practiceStimuliSquare/practice2_s.png,0,9,,,,,,,,,,
,,,,,,,18,female,A,2020-05-04_18h38.48.129,Remembering_Displays,2020.1.2,MacIntel,60,,0,,1,1,1.20761,0,5,5,7,1,Stimuli/practiceStimuliSquare/practice4_s.png,Stimuli/practiceStimuliSquare/practice4_s.png,0,9,,,,,,,,,,
